#,Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,TotalTests,"Tests/
1M pop",Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl
95,Kyrgyzstan,2207,41,27,1,1722,54,458,11,339,4,147454,22622,6518289,Asia,2953,241418,44
96,CAR,2057,13,7,,363,3,1687,2,426,1,18921,3921,4825119,Africa,2346,689303,255
97,Maldives,2003,,8,,1193,,802,9,3709,15,28940,53591,540016,Asia,270,67502,19
98,Estonia,1973,3,69,,1705,2,199,,1487,52,95000,71617,1326493,Europe,672,19225,14
99,Sri Lanka,1880,,11,,1252,56,617,1,88,0.5,84802,3961,21408902,Asia,11388,1946264,252
100,Iceland,1807,,10,,1794,,3,,5297,29,63045,184811,341133,Europe,189,34113,5
101,Lithuania,1763,7,75,1,1416,16,272,17,647,28,360670,132415,2723786,Europe,1545,36317,8
102,Mali,1752,,101,,1023,,628,,87,5,3483,172,20214891,Africa,11538,200147,5804
103,South Sudan,1670,,24,,48,,1598,,149,2,3356,300,11186857,Africa,6699,466119,3333
104,Costa Rica,1612,,12,,731,,869,3,317,2,31308,6149,5091747,North America,3159,424312,163
105,Mauritania,1572,,81,,278,,1213,25,339,17,7654,1649,4642299,Africa,2953,57312,607
106,Slovakia,1545,3,28,,1410,1,107,,283,5,196244,35945,5459519,Europe,3534,194983,28
107,New Zealand,1504,,22,,1482,,0,,301,4,307810,61536,5002100,Australia/Oceania,3326,227368,16
108,Slovenia,1492,2,109,,1359,,24,,718,52,88463,42552,2078925,Europe,1393,19073,24
109,Nicaragua,1464,,55,,953,,456,,221,8,,,6620422,North America,4522,120371,
110,Guinea-Bissau,1460,,15,,153,,1292,5,743,8,1500,763,1965269,Africa,1346,131018,1310
111,Lebanon,1422,,31,,853,,538,10,208,5,103390,15145,6826791,Asia,4801,220219,66
112,Albania,1416,,36,,1034,,346,8,492,13,17618,6122,2877941,Europe,2032,79943,163
113,Zambia,1321,,10,,1104,,207,1,72,0.5,28236,1539,18352460,Africa,13893,1835246,650
114,Equatorial Guinea,1306,,12,,200,,1094,,933,9,8268,5906,1400039,Africa,1072,116670,169
115,Paraguay,1254,,11,,633,,610,2,176,2,45132,6332,7127927,South America,5684,647993,158
116,Madagascar,1240,,10,,344,,886,10,45,0.4,15148,548,27648383,Africa,22297,2764838,1825
117,Hong Kong,1109,,4,,1060,,45,3,148,0.5,241992,32292,7493913,Asia,6757,1873478,31
118,Sierra Leone,1103,,51,,648,,404,,138,6,,,7967746,Africa,7224,156230,
119,Latvia,1097,1,28,1,845,27,224,1,581,15,126054,66800,1887049,Europe,1720,67395,15
120,Tunisia,1093,,49,,995,,49,,93,4,57273,4849,11812229,Africa,10807,241066,206
121,French Guiana,1043,,2,,489,,552,6,3497,7,277,929,298217,South America,286,149109,1077
122,Cyprus,980,,18,,807,,155,4,812,15,134706,111611,1206919,Asia,1232,67051,9
123,Niger,978,,65,,881,,32,,40,3,6252,259,24148953,Africa,24692,371522,3863
124,Jordan,915,,9,,671,,235,5,90,0.9,257149,25216,10197928,Asia,11145,1133103,40
125,Burkina Faso,892,,53,,799,8,40,,43,3,,,20868398,Africa,23395,393743,
126,Andorra,853,,51,,781,,21,8,11041,660,3750,48538,77259,Europe,91,1515,21
127,Georgia,851,8,13,,702,5,136,6,213,3,70569,17689,3989514,Asia,4688,306886,57
128,Chad,848,,72,,711,,65,,52,4,,,16396849,Africa,19336,227734,
129,Uruguay,847,,23,,780,,44,3,244,7,52078,14994,3473152,South America,4101,151007,67
130,Congo,728,,24,,221,,483,,132,4,,,5510035,Africa,7569,229585,
131,Diamond Princess,712,,13,,651,,48,4,,,,,,,,,
132,Cabo Verde,697,,6,,294,,397,,1254,11,1307,2352,555674,Africa,797,92612,425
133,San Marino,694,,42,,520,,132,1,20455,1238,5238,154386,33928,Europe,49,808,6
134,Uganda,694,8,,,199,38,495,,15,,111436,2441,45649727,Africa,65778,,410
135,Sao Tome and Principe,650,11,12,,168,12,470,,2969,55,1395,6372,218931,Africa,337,18244,157
136,Malta,645,,9,,600,,36,,1461,20,78788,178461,441487,Europe,684,49054,6
137,Yemen,632,,139,,28,,465,,21,5,120,4,29787955,Asia,47133,214302,248233
138,Jamaica,614,3,10,,417,9,187,2,207,3,15850,5354,2960540,North America,4822,296054,187
139,Channel Islands,565,,48,,512,,5,,3251,276,10255,59011,173781,Europe,308,3620,17
140,Togo,525,,13,,279,,233,1,64,2,24802,3000,8267347,Africa,15747,635950,333
141,Rwanda,510,,2,,321,,187,,39,0.2,85613,6620,12933152,Africa,25359,6466576,151
142,Tanzania,509,,21,,183,,305,7,9,0.4,,,59629682,Africa,117151,2839509,
143,Mozambique,509,,2,,145,,362,,16,0.06,16919,542,31201863,Africa,61300,15600932,1844
144,Palestine,489,,3,,414,,72,,96,0.6,44876,8809,5094473,Asia,10418,1698158,114
145,Runion,488,,1,,460,,27,2,545,1,17200,19218,894993,Africa,1834,894993,52
146,Malawi,481,,4,,65,,412,4,25,0.2,6690,350,19100310,Africa,39710,4775078,2855
147,Eswatini,472,,3,,246,,223,5,407,3,6551,5650,1159544,Africa,2457,386515,177
148,Taiwan,443,,7,,431,,5,,19,0.3,73751,3097,23814740,Asia,53758,3402106,323
149,Liberia,421,,32,,210,,179,,83,6,,,5050706,Africa,11997,157835,
150,Libya,409,,6,,59,,344,,60,0.9,11765,1713,6866309,Africa,16788,1144385,584
151,Benin,388,,5,,217,,166,2,32,0.4,45637,3770,12104097,Africa,31196,2420819,265
152,Zimbabwe,343,,4,,51,,288,,23,0.3,52905,3562,14851276,Africa,43298,3712819,281
153,Mauritius,337,,10,,325,,2,,265,8,137789,108353,1271669,Africa,3773,127167,9
