Country/Other,TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,ActiveCases,Serious/Critical,TotCases/1M pop,Deaths/1M pop,1stcase
Chad,3,,,,,3,,0.2,,Mar 18
Liberia,3,,,,,3,,0.6,,Mar 15
Saint Lucia,3,,,,1,2,,16,,Mar 12
Sint Maarten,3,,,,,3,,70,,Mar 17
Somalia,3,,,,,3,,0.2,,Mar 15
MS Zaandam,2,,,,,2,,,,Mar 26
Anguilla,2,,,,,2,,133,,Mar 25
Belize,2,,,,,2,,5,,Mar 22
British Virgin Islands,2,,,,,2,,66,,Mar 24
Guinea-Bissau,2,,,,,2,,1,,Mar 24
Saint Kitts and Nevis,2,,,,,2,,38,,Mar 24
Turks and Caicos,2,,,,,2,,52,,Mar 22
Libya,1,,,,,1,,0.1,,Mar 23
Papua New Guinea,1,,,,,1,,0.1,,Mar 19
St. Vincent Grenadines,1,,,,,1,,9,,Mar 10
Timor-Leste,1,,,,,1,,0.8,,Mar 20
China,81394,54,3295,3,74971,3128,886,57,2,Jan 10
